gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.6805,sol2,0.0,0.78,787.28
gfx950,256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.7309,sol2,0.0,1.55,782.03
gfx950,256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,6.1573,sol2,0.0,2.38,605.69
gfx950,256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,7.7257,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0312,3.8,490.42
gfx950,256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.6312,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0295,7.69,512.05
gfx950,256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,7.8983,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.031,14.87,524.82
gfx950,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,8.172,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0277,21.56,536.31
gfx950,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,8.4622,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0312,27.76,545.99
gfx950,256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,16,8.7848,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0322,33.42,552.98
gfx950,256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,16,8.9146,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0306,39.52,571.58
gfx950,256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9601,8,7.204,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.029,57.06,740.28
gfx950,256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,14527,7,7.6207,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0203,61.64,730.98
