gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4743,7,6.174,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0182,7.13,911.22
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4749,8,6.5591,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0234,13.43,876.14
gfx950,256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6646,8,6.5312,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0224,20.23,898.38
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6646,8,6.7705,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0212,26.02,884.48
gfx950,256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5173,8,6.8657,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0195,32.07,889.81
gfx950,256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6992,8,7.1054,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0284,37.19,876.8
gfx950,256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,9.3551,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0279,32.95,678.86
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4402,7,7.5879,flydsl_gemm3_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0192,46.43,852.89
gfx950,256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7082,7,7.7983,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0202,50.83,845.38
gfx950,256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9545,8,7.9086,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,55.69,848.87
gfx950,256,88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,14,9.9299,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0281,48.79,688.24
gfx950,256,104,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9533,7,8.892,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,64.39,795.75
gfx950,256,112,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9399,7,9.1405,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0266,67.45,787.34
gfx950,256,120,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6658,4,9.3175,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0141,70.9,785.35
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7593,4,9.6871,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0144,72.74,767.86
gfx950,256,136,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,10887,7,9.555,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0202,78.36,791.12
gfx950,256,168,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8246,4,10.3211,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,89.61,779.23
gfx950,256,176,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8248,4,10.6039,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,91.37,769.84
gfx950,256,184,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,10747,4,10.9743,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,92.3,754.87
gfx950,256,200,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8248,4,10.6011,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,103.86,804.24
gfx950,256,216,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,13.5653,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0183,87.66,646.32
gfx950,256,224,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,7,13.5753,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0199,90.84,654.74
gfx950,256,232,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,13.6708,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0183,93.42,659.01
gfx950,256,240,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,13.7164,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.018,96.32,665.63
